Tiempo en segundos: 3.072302

Posiciones finales de los cuerpos:
Cuerpo 131: px=0.136791 py=0.852873 pz=-0.999967
Cuerpo 132: px=0.167961 py=1.007610 pz=-0.959421
Cuerpo 133: px=0.198101 py=1.160234 pz=-0.845372
Cuerpo 134: px=0.224433 py=1.295061 pz=-0.666557
Cuerpo 135: px=0.244234 py=1.396807 pz=-0.436676
Cuerpo 136: px=0.255516 py=1.454266 pz=-0.173340
Cuerpo 137: px=-0.150495 py=1.473038 pz=0.000000
Cuerpo 138: px=-0.148117 py=1.449007 pz=0.274125
Cuerpo 139: px=-0.141036 py=1.373214 pz=0.527250
Cuerpo 140: px=-0.130216 py=1.255556 pz=0.739980
Cuerpo 141: px=-0.117021 py=1.109788 pz=0.896019
Cuerpo 142: px=-0.103092 py=0.952220 pz=0.983412
Cuerpo 143: px=-0.089960 py=0.797676 pz=0.995464
Cuerpo 144: px=-0.078633 py=0.655317 pz=0.931251
Cuerpo 145: px=-0.069594 py=0.529718 pz=0.795693
Cuerpo 146: px=-0.063057 py=0.425535 pz=0.599176
Cuerpo 147: px=-0.059116 py=0.350390 pz=0.356754
Cuerpo 148: px=-0.057849 py=0.314144 pz=0.087001
Cuerpo 149: px=-0.059252 py=0.323452 pz=-0.189418
Cuerpo 150: px=-0.063035 py=0.376522 pz=-0.451325
Cuerpo 151: px=-0.068813 py=0.464540 pz=-0.678655
Cuerpo 152: px=-0.076469 py=0.577975 pz=-0.853992
Cuerpo 153: px=-0.086089 py=0.710465 pz=-0.963903
Cuerpo 154: px=-0.097637 py=0.857918 pz=-0.999967
Cuerpo 155: px=-0.110634 py=1.014669 pz=-0.959421
Cuerpo 156: px=-0.123923 py=1.169290 pz=-0.845372
Cuerpo 157: px=-0.135901 py=1.305932 pz=-0.666557
Cuerpo 158: px=-0.145011 py=1.409082 pz=-0.436676
Cuerpo 159: px=-0.150110 py=1.467415 pz=-0.173340
Cuerpo 160: px=-0.545945 py=1.375339 pz=0.000000
Cuerpo 161: px=-0.537141 py=1.352941 pz=0.274125
Cuerpo 162: px=-0.509591 py=1.282118 pz=0.527250
Cuerpo 163: px=-0.466923 py=1.172125 pz=0.739980
Cuerpo 164: px=-0.414214 py=1.035832 pz=0.896019
Cuerpo 165: px=-0.357494 py=0.888484 pz=0.983412
Cuerpo 166: px=-0.302271 py=0.743936 pz=0.995464
Cuerpo 167: px=-0.251983 py=0.610736 pz=0.931251
Cuerpo 168: px=-0.208323 py=0.493140 pz=0.795693
Cuerpo 169: px=-0.172823 py=0.395536 pz=0.599176
Cuerpo 170: px=-0.147798 py=0.325111 pz=0.356754
Cuerpo 171: px=-0.136187 py=0.291106 pz=0.087001
Cuerpo 172: px=-0.139907 py=0.299721 pz=-0.189418
Cuerpo 173: px=-0.158216 py=0.349287 pz=-0.451325
Cuerpo 174: px=-0.188281 py=0.431592 pz=-0.678655
Cuerpo 175: px=-0.227249 py=0.537714 pz=-0.853992
Cuerpo 176: px=-0.273326 py=0.661671 pz=-0.963903
Cuerpo 177: px=-0.325285 py=0.799618 pz=-0.999967
Cuerpo 178: px=-0.381105 py=0.946275 pz=-0.959421
Cuerpo 179: px=-0.436552 py=1.090963 pz=-0.845372
Cuerpo 180: px=-0.485746 py=1.218836 pz=-0.666557
Cuerpo 181: px=-0.522952 py=1.315397 pz=-0.436676
Cuerpo 182: px=-0.543977 py=1.370034 pz=-0.173340
Cuerpo 183: px=-0.899893 py=1.173852 pz=0.000000
Cuerpo 184: px=-0.885332 py=1.154750 pz=0.274125
Cuerpo 185: px=-0.839444 py=1.094282 pz=0.527250
Cuerpo 186: px=-0.768254 py=1.000353 pz=0.739980
Cuerpo 187: px=-0.680168 py=0.883955 pz=0.896019
